"team","G.x","E","Range RAA","종합 RAA.x","종합RAA/144","POSAdj","RAAwithPOS","WAAwoPOS","WAAwithPOS","WAA-BT","WAA-SB","WAA-Def","Rep.Wins","Pos.Wins","WAA-GS","WAA-GR","PA.x","타격 RAA","도루 RAA","주루 RAA","공격 RAA","필딩 RAA","포지션 RAA","수비 RAA","종합 RAA.y","대체 Run","RAR","RPW.x","연봉.x","WAR당 연봉.x","G.y","oWAR","dWAR","PA.y","ePA","AB","R.x","H.x","2B","3B","HR.x","TB","RBI","SB","CS","BB.x","HP.x","IB.x","SO.x","GDP","SH","SF","AVG.x","OBP.x","SLG","OPS","R/ePA.x","wRC+.x","WAR.x","K%.x","BB%.x","BB/SO","BABIP.x","IsoP.x","IsoD","R/ePA.y","wOBA","wRC","RC27","Own%","wRC+.y","PA","HR.y","XH","XH/AB","HR/XH","HR/FB","PA/HR","AB/HR","IsoP.y","SLG/AVG","G.x.x","RPW.y","선발RAA","구원RAA","종합RAA","선발WAA","구원WAA","종합WAA","선발WAR","구원WAR","연봉.y","WAR당 연봉.y","G.y.y","GS","GR","GF","CG","SHO","W","L","S","HD","IP","ER","R.y","rRA","TBF","H.y","HR","BB.y","HP.y","IB.y","SO.y","BK","WP","ERA.x","RA9.x","rRA9.x","FIP.x","WHIP","WAR.y","G","K/9","BB/9","K/BB","HR/9","K%.y","BB%.y","K-BB%","BABIP.y","LOB","ERA.y","RA9.y","rRA9.y","FIP.y","kwERA","ERA-FIP","ERA-","rRA9-","FIP-","AVG.y","OBP.y"
"12LG",133,78,-34.68,-34.51,-2.87,NA,NA,-3.627,NA,-0.94,0.3,-3.78,2.43,-0.48,-3.34,2.44,5180,-8.91,2.85,2.85,-13.63,-34.51,-4.59,-46.48,-60.11,23.09,-37.03,399.62,345400,20598,133,22.45,-5.68,5180,5081,4539,544,1184,212,18,59,1609,512,140,57,458,53,19,857,107,80,50,0.261,0.332,0.354,0.686,0.107,98.4,16.77,16.5,8.8,0.53,0.307,0.093,0.071,0.107,0.331,546.2,4.04,19.4,98.4,5180,59,289,0.06,0.2,NA,87.8,76.93,0.093,1.356,133,331.88,-44.93,12.57,-10.56,-3.34,2.44,-0.9,8.14,7.36,148000,-924282,133,133,443,133,1,0,57,72,35,64,1202,537,580,580,5188,1235,65,422,71,23,735,6,57,4.02,4.34,4.34,3.83,1.38,15.5,133,5.5,3.16,1.74,0.49,14.2,8.1,6,0.31,70.1,4.02,4.34,4.34,3.83,4.68,0.19,108.68,111.44,101.85,0.272,0.341
"12KIA",133,70,10.23,10.75,0.96,NA,NA,1.13,NA,1.34,0.54,-0.14,2.4,-0.01,3.4,-2.92,5131,12.79,5.12,5.12,15.41,10.53,-0.12,3.09,18.72,22.87,41.59,285.44,263000,10589,133,24.75,0.09,5131,4981,4348,553,1112,197,19,54,1509,518,132,51,544,60,18,790,100,132,47,0.256,0.343,0.347,0.69,0.111,102.3,24.84,15.4,10.6,0.69,0.298,0.091,0.087,0.111,0.336,561.5,4.25,21.1,102.3,5131,54,270,0.06,0.2,NA,95.02,80.52,0.091,1.355,133,334.75,27.25,-47.35,-28.44,3.4,-2.92,0.48,15.2,1.49,192600,-184709193,133,133,402,133,11,6,62,65,27,33,1183.2,513,564,564,5101,1161,69,452,68,13,822,6,56,3.9,4.29,4.29,3.73,1.36,16.68,133,6.25,3.44,1.82,0.53,16.1,8.9,7.3,0.305,70.5,3.9,4.29,4.29,3.73,4.53,0.17,100.46,101.37,95.99,0.262,0.337
"11한화",133,75,29.39,19.21,1.58,NA,NA,1.916,NA,-4.92,-1.49,-0.07,2.27,-0.45,-5.68,-3.07,5085,-49.29,-14.95,-14.95,-54.17,19.21,-4.49,22.67,-31.5,22.8,-8.71,391.03,156000,7937,133,16.39,3.27,5085,4940,4367,568,1112,160,14,93,1579,536,100,76,488,74,14,906,93,130,25,0.255,0.338,0.362,0.7,0.115,91.7,19.65,17.8,9.6,0.54,0.3,0.107,0.083,0.115,0.333,546.3,4.12,17.1,91.7,5085,93,267,0.06,0.35,NA,54.68,46.96,0.107,1.42,133,287.4,-70.74,-52.03,-135.81,-5.68,-3.07,-8.75,5.74,2.15,166000,556978,133,133,428,133,4,1,59,72,26,36,1175,668,727,727,5280,1273,128,524,55,10,938,2,91,5.12,5.57,5.57,4.35,1.53,7.9,133,7.19,4.01,1.79,0.98,17.8,9.9,7.8,0.322,67.3,5.12,5.57,5.57,4.35,4.46,0.77,118.71,115.21,101.67,0.278,0.356
"11삼성",133,73,-0.15,8.14,0.69,NA,NA,0.811,NA,-1.54,1,0.99,2.3,-0.77,1.15,10.38,5145,-15.43,10,10,0.16,8.14,-7.7,8.49,8.64,23.06,31.71,280.74,243300,10169,133,22.52,1.4,5145,5048,4437,625,1150,193,20,95,1668,585,158,51,522,69,23,940,97,73,43,0.259,0.343,0.376,0.719,0.124,97.4,23.93,18.3,10.1,0.56,0.306,0.117,0.084,0.124,0.341,588.1,4.47,19.6,97.4,5145,95,308,0.07,0.31,NA,54.16,46.71,0.117,1.452,133,245.98,6.8,92.34,93.48,1.15,10.38,11.53,12.93,15.54,207800,-3721528,133,133,399,133,1,1,79,50,48,74,1196.1,445,513,513,5077,1191,92,395,38,8,841,5,40,3.35,3.86,3.86,3.88,1.33,28.47,133,6.33,2.97,2.13,0.69,16.6,7.8,8.8,0.303,74.3,3.35,3.86,3.86,3.88,4.35,-0.53,79.57,82.28,91.38,0.263,0.325
"11롯데",133,100,-91.75,-91.43,-7.88,NA,NA,-9.119,NA,9.59,-0.15,2.42,2.34,1,3.47,2.06,5234,96.12,-1.52,-1.52,74.88,-91.43,9.99,-73.25,1.62,23.46,25.09,290.77,244300,10341,133,32.9,-9.27,5234,5154,4599,713,1324,226,30,111,1943,666,112,58,466,64,19,836,124,61,44,0.288,0.358,0.422,0.78,0.138,115.6,23.63,16,8.9,0.56,0.328,0.134,0.07,0.138,0.365,713.5,5.41,26.3,115.6,5234,111,367,0.08,0.3,NA,47.15,41.43,0.134,1.465,133,232.89,27.97,14.72,102.45,3.47,2.06,5.53,15.69,6.65,178500,141953,133,133,419,133,3,2,72,56,27,45,1187,557,619,619,5114,1256,113,430,58,19,787,4,62,4.22,4.69,4.69,4.29,1.42,22.34,133,5.97,3.26,1.83,0.86,15.4,8.4,7,0.315,70.9,4.22,4.69,4.69,4.29,4.56,-0.07,96.34,93.06,97.66,0.28,0.348
"11두산",133,71,-6.59,-9.17,-0.82,NA,NA,-0.915,NA,3.15,0.23,0.44,2.33,0.02,-0.64,-0.11,5204,31.57,2.31,2.31,22.62,-9.17,0.21,-0.81,21.8,23.33,45.13,260.69,238100,9336,133,26.71,-1.21,5204,5114,4498,614,1221,196,27,92,1747,578,130,57,513,81,17,799,118,73,39,0.271,0.354,0.388,0.742,0.12,105.2,25.5,15.4,9.9,0.64,0.31,0.117,0.083,0.12,0.351,642.4,4.87,22.4,105.2,5204,92,315,0.07,0.29,NA,56.57,48.89,0.117,1.432,133,354.23,-22.08,-9.14,-25.35,-0.64,-0.11,-0.76,12.13,3.94,205800,383869,133,133,397,133,4,2,61,70,34,46,1188.2,570,619,619,5170,1231,96,476,75,19,855,6,70,4.32,4.69,4.69,4.14,1.44,16.08,133,6.47,3.6,1.8,0.73,16.5,9.2,7.3,0.319,70.6,4.32,4.69,4.69,4.14,4.52,0.18,106.01,107.93,101.82,0.276,0.352
"11넥센",133,79,23.38,19.71,1.73,NA,NA,1.966,NA,-9.29,-0.38,-1.1,2.23,-1.04,-4.86,4.63,4989,-93.16,-3.81,-3.81,-91.01,19.7,-10.48,17.02,-73.97,22.37,-51.61,330.87,161300,10762,133,12.69,2.29,4989,4870,4343,512,1065,187,23,79,1535,472,99,55,460,51,16,992,94,103,32,0.245,0.323,0.353,0.676,0.105,84.1,14.99,19.9,9.2,0.46,0.298,0.108,0.078,0.105,0.323,490.4,3.72,14.4,84.1,4989,79,289,0.07,0.27,NA,63.15,54.97,0.108,1.441,133,289.05,-59.7,38.15,-34.93,-4.86,4.63,-0.23,5.3,11.06,116000,114178,133,133,476,133,0,0,51,80,30,66,1171.1,570,622,622,5195,1167,81,601,76,16,830,1,73,4.38,4.78,4.78,4.33,1.51,16.36,133,6.38,4.62,1.38,0.62,16,11.6,4.4,0.311,70.6,4.38,4.78,4.78,4.33,4.87,0.05,101.29,98.56,101.32,0.268,0.363
"11SK",133,60,28.72,28.32,2.52,NA,NA,2.824,NA,-0.89,-0.55,-0.54,2.29,-0.67,-2.22,9.86,5124,-8.9,-5.54,-5.54,1.48,28.32,-6.73,29.6,31.08,22.97,54.05,391.03,448500,17204,133,21.53,4.54,5124,4962,4404,584,1157,204,18,100,1697,561,105,61,470,67,15,891,88,147,36,0.263,0.34,0.385,0.725,0.118,98.5,26.07,17.4,9.2,0.53,0.307,0.122,0.077,0.118,0.342,593.4,4.48,19.6,98.5,5124,100,322,0.07,0.31,NA,51.24,44.04,0.122,1.464,133,260.57,-26.8,91.79,45.87,-2.22,9.86,7.64,8.97,15.56,218800,182846,133,133,429,133,1,0,71,59,37,63,1192.1,476,522,522,5032,1001,93,541,65,24,1006,3,64,3.59,3.94,3.94,3.94,1.29,24.53,133,7.59,4.08,1.86,0.7,20,10.8,9.2,0.281,73.5,3.59,3.94,3.94,3.94,4.29,-0.35,87.81,89.14,95.72,0.233,0.326
"11LG",133,85,-9.17,-5.23,-0.45,NA,NA,-0.522,NA,-2.03,0.21,1.25,2.31,-0.67,-3.19,2.02,5158,-20.35,2.09,2.09,-17.14,-4.18,-6.74,-2.85,-21.04,23.12,2.08,340.9,357700,17014,133,21.3,-0.28,5158,5056,4522,579,1203,192,15,94,1707,539,116,52,463,49,15,858,106,86,37,0.266,0.338,0.377,0.715,0.115,96.6,21.02,16.6,9,0.54,0.308,0.111,0.072,0.115,0.34,586.6,4.4,19.1,96.6,5158,94,301,0.07,0.31,NA,54.87,48.11,0.111,1.417,133,396.14,-37.65,8.02,-26.39,-3.19,2.02,-1.18,7.88,7.85,170300,6603847,133,133,431,133,3,1,59,72,30,50,1193.2,552,620,620,5209,1173,80,512,71,20,827,6,52,4.16,4.67,4.67,4.14,1.41,15.73,133,6.24,3.86,1.62,0.6,15.9,9.8,6,0.302,69.1,4.16,4.67,4.67,4.14,4.67,0.02,102.82,107.99,101.55,0.261,0.344
"11KIA",133,60,26.16,30.46,2.72,NA,NA,3.038,NA,5.91,1.04,-0.23,2.29,-0.71,2.56,-1.14,5129,59.24,10.39,10.39,64.1,30.46,-7.1,31.39,95.5,22.99,118.49,360.95,288600,8875,133,29.94,2.58,5129,5009,4373,627,1177,204,15,106,1729,597,113,38,554,59,11,782,110,109,34,0.269,0.357,0.395,0.752,0.125,109.8,32.52,15.2,10.8,0.71,0.304,0.126,0.088,0.125,0.357,661.3,5.12,24.2,109.8,5129,106,325,0.07,0.33,NA,48.39,41.25,0.126,1.468,133,244.43,20.66,-19.44,-19.32,2.56,-1.14,1.42,14.45,3.46,183400,1807403,133,133,382,133,7,4,70,63,29,37,1163.2,536,580,580,4991,1117,87,457,76,14,920,6,51,4.15,4.49,4.49,3.81,1.35,17.9,133,7.12,3.54,2.01,0.67,18.4,9.2,9.3,0.307,70,4.15,4.49,4.49,3.81,4.29,0.34,97.12,95.52,90.92,0.257,0.337
"10한화",133,72,60,59.34,4.88,NA,NA,5.598,NA,-10.92,-1.05,0.24,2.05,-1.17,-1.09,-4.23,5009,-115.75,-11.09,-11.09,-132.36,59.7,-12.39,41.19,-91.53,21.74,-69.79,455.79,146500,11176,133,9.78,3.33,5009,4921,4321,543,1053,160,13,104,1551,508,121,70,497,80,10,943,106,75,33,0.244,0.331,0.359,0.69,0.11,81.9,13.11,18.8,9.9,0.53,0.287,0.115,0.087,0.11,0.325,512.9,3.9,13.3,81.9,5009,104,277,0.06,0.38,NA,48.16,41.55,0.115,1.471,133,405.13,-53.16,-66.92,-159.98,-1.09,-4.23,-5.32,10.07,1.65,225400,-364001,133,133,423,133,6,4,49,82,24,28,1169.1,705,763,763,5267,1290,146,551,72,17,806,5,65,5.43,5.87,5.87,4.98,1.57,11.71,133,6.2,4.24,1.46,1.12,15.3,10.5,4.8,0.317,67.3,5.43,5.87,5.87,4.98,4.82,0.45,113.67,111.05,105.81,0.286,0.369
"10삼성",133,85,-25.57,-24.71,-2.12,NA,NA,-2.331,NA,5.85,0.63,-1.55,2.17,-0.55,3.42,8.51,5287,62.03,6.7,6.7,56.75,-24.71,-5.79,-36.97,19.78,22.95,42.73,307.39,367495,14808,133,29.44,-4.62,5287,5147,4436,681,1207,212,14,118,1801,630,158,55,621,75,29,916,111,111,44,0.272,0.368,0.406,0.774,0.132,109.2,24.82,17.3,11.7,0.68,0.316,0.134,0.096,0.132,0.362,728.1,5.54,23.6,109.2,5287,118,344,0.08,0.34,NA,44.81,37.59,0.134,1.493,133,217.21,31.11,85.16,132.39,3.42,8.51,11.93,14.57,14.77,162030,295154,133,133,439,133,2,1,79,52,33,44,1193.2,523,575,575,5119,1168,103,453,54,11,951,3,61,3.94,4.34,4.34,4.05,1.36,29.34,133,7.17,3.42,2.1,0.78,18.6,8.8,9.7,0.307,71.9,3.94,4.34,4.34,4.05,4.23,-0.11,83.02,81.05,84.48,0.26,0.333
"10롯데",133,91,-48.49,-43.08,-3.96,NA,NA,-4.064,NA,8.16,0.19,-0.91,2.15,0.74,2.48,-0.44,5261,86.45,2.05,2.05,90.82,-42.17,7.8,-40.79,49.12,22.84,71.95,307.39,218200,7943,133,31.19,-3.72,5261,5186,4673,773,1345,220,16,185,2152,739,124,51,420,67,15,873,105,60,41,0.288,0.352,0.461,0.813,0.149,112.9,27.47,16.6,8,0.48,0.318,0.173,0.064,0.149,0.367,750,5.65,24.3,112.9,5261,185,421,0.09,0.44,NA,28.44,25.26,0.173,1.601,133,344.15,11.6,-18.67,21.3,2.48,-0.44,2.03,13.69,5.76,133800,123071,133,133,409,133,7,3,69,61,21,37,1194,645,710,710,5204,1291,149,419,78,41,779,3,49,4.86,5.35,5.35,4.76,1.43,19.44,133,5.87,3.16,1.86,1.12,15,8.1,6.9,0.31,68.3,4.86,5.35,5.35,4.76,4.57,0.1,102.16,99.64,99.16,0.282,0.35
"10두산",133,73,-22.87,-20.88,-1.77,NA,NA,-1.97,NA,8.72,-0.28,0,2.15,0.29,-1.62,3.39,5252,92.4,-2.92,-2.92,99.84,-20.88,3.03,-24.27,75.57,22.8,98.36,360.39,266800,8915,133,31.24,-1.31,5252,5171,4538,731,1276,224,25,149,1997,706,128,61,533,89,27,834,97,54,38,0.281,0.365,0.44,0.805,0.141,113.8,29.93,15.9,10.1,0.64,0.314,0.159,0.084,0.141,0.368,753.6,5.79,25.3,113.8,5252,149,398,0.09,0.37,NA,35.25,30.46,0.159,1.566,133,335.15,-29.38,23.45,7.64,-1.62,3.39,1.77,9.78,9.17,195700,91460,133,133,426,133,2,0,73,57,30,56,1179.2,607,669,669,5131,1190,135,437,85,6,888,2,58,4.63,5.1,5.1,4.5,1.38,18.94,133,6.78,3.33,2.03,1.03,17.3,8.5,8.8,0.302,68.5,4.63,5.1,5.1,4.5,4.35,0.13,99.68,100.83,97.22,0.266,0.34
"10넥센",133,75,13.41,12.37,1.06,NA,NA,1.167,NA,-5.99,0.07,2.81,2.1,-0.85,-2.53,4.54,5139,-63.45,0.75,0.75,-79.02,9.13,-9.05,-6.2,-81.98,22.31,-59.67,381.59,155200,10649,133,16.39,-1.82,5139,5027,4452,570,1165,199,20,87,1665,539,135,56,480,68,16,874,119,95,43,0.262,0.34,0.374,0.714,0.113,90.3,14.57,17,9.3,0.55,0.305,0.112,0.078,0.113,0.336,583.9,4.38,16.2,90.3,5139,87,306,0.07,0.28,NA,59.07,51.17,0.112,1.427,133,265.31,-34.66,41.66,-3.59,-2.53,4.54,2.01,7.89,11.48,110900,-4865431,133,133,464,133,1,1,52,78,27,39,1185.2,600,652,652,5231,1162,122,614,95,17,832,3,66,4.55,4.95,4.95,4.97,1.5,19.38,133,6.32,4.66,1.36,0.93,15.9,11.7,4.2,0.299,71.7,4.55,4.95,4.95,4.97,4.9,-0.42,98.29,97.79,107,0.265,0.364
"10SK",133,69,23.54,17.18,1.44,NA,NA,1.621,NA,1.81,-0.26,-0.12,2.13,-0.46,6.46,4.94,5213,19.23,-2.74,-2.74,38.81,15.22,-4.85,4,44.77,22.63,67.4,392.19,445300,16583,133,24.19,2.67,5213,5041,4439,704,1217,222,16,120,1831,648,161,69,485,98,25,813,86,147,44,0.274,0.355,0.412,0.767,0.14,102.9,26.85,15.6,9.3,0.6,0.309,0.138,0.081,0.14,0.354,677,5.12,20.9,102.9,5213,120,358,0.08,0.34,NA,43.44,36.99,0.138,1.504,133,286.02,60.79,38.48,87.46,6.46,4.94,11.41,19.09,9.66,207100,902034,133,133,416,133,2,1,84,47,36,39,1198.1,496,545,545,5114,1074,117,543,47,27,1091,2,80,3.73,4.09,4.09,4.08,1.35,28.74,133,8.19,4.08,2.01,0.88,21.3,10.6,10.7,0.296,74.6,3.73,4.09,4.09,4.08,4.11,-0.35,83.89,87.23,90.78,0.243,0.331
"10LG",133,78,-33.13,-37.2,-3.31,NA,NA,-3.51,NA,1.52,0.66,-0.85,2.16,-1.01,-4.97,1.74,5270,16.15,7.03,7.03,33.48,-37.07,-10.71,-54.22,-20.87,22.88,2.01,349.79,307600,14712,133,25.06,-4.16,5270,5163,4604,688,1270,223,17,121,1890,652,169,56,486,54,25,907,97,82,44,0.276,0.349,0.411,0.76,0.133,102.4,20.91,17.2,9.2,0.54,0.317,0.135,0.073,0.133,0.353,680.1,5.08,20.6,102.4,5270,121,361,0.08,0.34,NA,43.55,38.05,0.135,1.489,133,399.32,-77.42,1.62,-51.34,-4.97,1.74,-3.23,5.24,8.96,194300,-259274,133,133,513,133,3,1,57,71,31,59,1188,693,746,746,5326,1279,125,560,104,23,793,6,74,5.25,5.65,5.65,4.95,1.55,14.2,133,6.01,4.24,1.42,0.95,14.9,10.5,4.4,0.317,67.7,5.25,5.65,5.65,4.95,4.88,0.3,114.2,113.23,107.23,0.284,0.372
"10KIA",133,74,33.1,36.99,3.28,NA,NA,3.49,NA,-3.53,0.05,-3.65,2.12,-0.73,2.2,-2.02,5166,-37.46,0.48,0.48,-43.21,37.09,-7.74,23.03,-20.27,22.43,2.16,381.59,277200,13513,133,18.94,1.58,5166,5043,4416,611,1148,190,17,106,1690,574,117,52,523,85,14,865,110,109,33,0.26,0.347,0.383,0.73,0.121,94.3,20.51,16.7,10.1,0.6,0.3,0.123,0.087,0.121,0.342,615.4,4.65,17.9,94.3,5166,106,313,0.07,0.34,NA,48.74,41.66,0.123,1.473,133,262.64,19.97,-28.85,-33.89,2.2,-2.02,0.18,13.68,3.72,139600,74355,133,133,406,133,4,1,59,74,25,40,1183.2,578,641,641,5205,1227,93,468,81,19,885,4,53,4.39,4.87,4.87,4.14,1.43,17.4,133,6.73,3.56,1.89,0.71,17,9,8,0.317,69,4.39,4.87,4.87,4.14,4.44,0.25,96.92,100.8,91.34,0.272,0.348
"09한화",133,81,-13.36,-14.52,-1.23,NA,NA,-1.333,NA,-3.96,0.73,-0.34,2.11,0.26,-5.77,0.44,5273,-43.11,7.92,7.92,-46.91,-14.54,2.79,-3.76,-50.66,22.95,-27.7,348.54,189000,10328,133,19.72,-1.42,5273,5214,4620,657,1241,211,13,164,1970,629,69,20,498,81,16,1017,126,43,31,0.269,0.348,0.426,0.774,0.126,93.8,18.3,19.3,9.4,0.49,0.31,0.157,0.079,0.126,0.35,650.6,4.88,18.3,93.8,5273,164,388,0.08,0.42,NA,32.15,28.17,0.157,1.584,133,325.52,-92.58,-8.6,-91.7,-5.77,0.44,-5.32,5.16,6.82,136400,179154,133,133,444,133,4,2,46,84,16,34,1174,745,805,805,5346,1335,176,569,77,28,908,5,56,5.71,6.17,6.17,5.03,1.62,12.05,133,6.96,4.36,1.6,1.35,17,10.6,6.3,0.326,67.8,5.71,6.17,6.17,5.03,4.64,0.68,114.03,110.91,101.36,0.292,0.375
"09우리",133,76,9.42,10.19,0.9,NA,NA,0.936,NA,-0.37,-0.11,-1.74,2.08,-0.59,-4.17,0.07,5211,-4.02,-1.17,-1.17,-4.86,10.19,-6.44,11.65,6.79,22.68,29.47,326.76,179900,7719,133,22.2,1.1,5211,5120,4486,683,1219,228,20,153,1946,650,192,67,547,63,24,905,116,64,48,0.272,0.356,0.434,0.79,0.133,99.4,23.3,17.4,10.5,0.6,0.307,0.162,0.084,0.133,0.358,682.4,5.17,20.1,99.4,5211,153,401,0.09,0.38,NA,34.06,29.32,0.162,1.596,133,340.22,-57.83,-11.57,-76.4,-4.17,0.07,-4.1,7.05,6.21,161800,912612,133,133,448,133,0,0,60,72,29,32,1174.1,711,762,762,5221,1231,176,565,61,19,840,5,51,5.45,5.84,5.84,5.15,1.53,13.25,133,6.44,4.33,1.49,1.35,16.1,10.8,5.3,0.301,68,5.45,5.84,5.84,5.15,4.77,0.3,109.17,105.64,104,0.274,0.361
"09삼성",133,72,29.35,23.94,2.09,NA,NA,2.198,NA,1.93,-0.14,-1.73,2.09,-0.23,-1.17,2.56,5220,21.05,-1.56,-1.56,34.43,23.87,-2.47,29.31,63.81,22.72,86.53,348.54,351400,12296,133,24.51,4.07,5220,5130,4459,685,1224,233,15,146,1925,650,125,50,584,67,23,789,108,67,43,0.275,0.364,0.432,0.796,0.134,103.1,28.58,15.1,11.2,0.74,0.302,0.157,0.089,0.134,0.363,709.2,5.47,21.9,103.1,5220,146,394,0.09,0.37,NA,35.75,30.54,0.157,1.571,133,295.77,-20.91,16.55,-20.52,-1.17,2.56,1.39,9.35,9.32,143800,122466,133,133,411,133,3,1,64,69,32,45,1163.2,644,700,700,5209,1226,141,609,56,9,905,1,67,4.98,5.41,5.41,4.76,1.58,18.67,133,7,4.71,1.49,1.09,17.4,11.7,5.7,0.318,70.3,4.98,5.41,5.41,4.76,4.72,0.22,96.61,92.76,93.92,0.278,0.369
"09롯데",133,87,-17.84,-16.29,-1.53,NA,NA,-1.496,NA,-2.43,-0.21,-0.51,2.02,0.91,0.61,3.3,5053,-26.48,-2.33,-2.33,-33.44,-16.29,9.91,1.27,-32.16,21.99,-10.17,381.22,259400,13624,133,19.35,-0.31,5053,4984,4420,637,1223,252,15,121,1868,597,106,45,456,68,9,816,121,60,49,0.277,0.35,0.423,0.773,0.128,96,19.04,16.1,9,0.56,0.312,0.146,0.073,0.128,0.353,638.9,4.97,18.8,96,5053,121,388,0.09,0.31,NA,41.76,36.53,0.146,1.527,133,301.93,-2.77,22.71,30.6,0.61,3.3,3.91,11.89,9.16,182500,225285,133,133,351,133,6,6,66,67,40,37,1162.1,614,669,669,5165,1290,139,487,67,35,722,3,49,4.75,5.18,5.18,4.76,1.53,21.05,133,5.59,3.77,1.48,1.08,14,9.4,4.5,0.313,71.2,4.75,5.18,5.18,4.76,4.85,-0.01,94.85,93.86,96.79,0.287,0.362
"09두산",133,66,-29.12,-29.9,-2.58,NA,NA,-2.745,NA,-0.59,-0.05,2.52,2.1,-0.52,0.01,4.17,5265,-6.42,-0.55,-0.55,-15.57,-30.6,-5.62,-28.24,-43.1,22.92,-20.18,381.22,260100,13719,133,22.28,-3.32,5265,5218,4591,722,1286,215,33,120,1927,669,129,50,522,86,21,849,128,26,40,0.28,0.362,0.42,0.782,0.138,99.1,18.96,16.1,9.9,0.61,0.319,0.14,0.082,0.138,0.358,687.7,5.23,20.4,99.1,5265,120,368,0.08,0.33,NA,43.88,38.26,0.14,1.5,133,283.79,-6.35,33.15,46.52,0.01,4.17,4.18,11.41,10.29,150300,43898,133,133,436,133,1,0,71,60,32,59,1186.1,609,662,662,5205,1221,120,515,75,7,862,3,55,4.62,5.02,5.02,4.52,1.46,21.69,133,6.54,3.91,1.67,0.91,16.6,9.9,6.7,0.309,69.9,4.62,5.02,5.02,4.52,4.6,0.1,96.73,98.21,94.46,0.272,0.353
"09SK",133,84,-20.22,-26.02,-2.2,NA,NA,-2.389,NA,6.14,-0.29,0.05,2.15,-0.68,8.14,6.19,5379,66.87,-3.13,-3.13,80.79,-26.13,-7.45,-25.43,55.47,23.41,78.88,446.57,448500,15734,133,29.26,-0.76,5379,5234,4574,732,1303,235,17,166,2070,693,181,68,552,84,16,892,103,128,40,0.285,0.369,0.453,0.822,0.14,109.5,28.51,16.6,10.3,0.62,0.32,0.168,0.084,0.14,0.371,773.4,5.78,23.9,109.5,5379,166,418,0.09,0.4,NA,32.4,27.55,0.168,1.589,133,370.68,81.52,58.75,157.4,8.14,6.19,14.33,20.44,11.7,262200,-9933186,133,133,423,133,2,0,80,47,33,34,1213,496,550,550,5203,1141,130,519,54,34,1032,3,68,3.68,4.08,4.08,4.23,1.37,32.14,133,7.66,3.85,1.99,0.97,19.8,10,9.9,0.297,76,3.68,4.08,4.08,4.23,4.22,-0.55,80.56,85.46,90.44,0.252,0.334
"09LG",133,76,15.92,14.76,1.28,NA,NA,1.355,NA,-1.46,0.32,5.54,2.1,-1.11,-5.45,-0.27,5248,-15.9,3.47,3.47,-15.22,17.79,-12.07,13.67,-4.59,22.84,18.26,446.57,337400,15048,133,21.7,0.72,5248,5123,4505,670,1251,182,21,129,1862,627,141,47,552,49,28,781,124,97,45,0.278,0.36,0.413,0.773,0.131,97.7,22.42,14.9,10.5,0.71,0.308,0.135,0.082,0.131,0.356,676,5.12,19.7,97.7,5248,129,332,0.07,0.39,NA,40.68,34.92,0.135,1.486,133,360.1,-84.12,-11.09,-106.27,-5.45,-0.27,-5.72,4.9,6.87,216000,7872217,133,133,465,133,0,0,54,75,25,38,1175,707,763,763,5339,1316,165,585,91,10,777,1,56,5.42,5.84,5.84,5.33,1.62,11.77,133,5.95,4.48,1.33,1.26,14.6,11,3.6,0.317,69.8,5.42,5.84,5.84,5.33,4.97,0.09,112.15,112.88,111.13,0.29,0.379
"09KIA",133,83,25.86,37.83,3.23,NA,NA,3.473,NA,-1.31,-0.47,-1.8,2.08,0.36,5.95,4.25,5215,-14.26,-5.16,-5.16,-13.55,37.86,3.97,49.73,36.15,22.7,58.85,381.22,281900,10835,133,20.92,5.1,5215,5114,4455,706,1191,197,24,156,1904,671,113,52,579,66,27,890,112,74,41,0.267,0.357,0.427,0.784,0.138,97.9,26.02,17.1,11.1,0.65,0.3,0.16,0.09,0.138,0.356,673.7,5.13,19.8,97.9,5215,156,377,0.08,0.41,NA,33.43,28.56,0.16,1.599,133,286.07,56.21,29.57,60.35,5.95,4.25,10.2,18.3,9.48,113500,320623,133,133,347,133,4,0,81,48,38,36,1199,522,581,581,5176,1178,108,441,83,22,893,2,22,3.92,4.36,4.36,4.17,1.35,27.78,133,6.7,3.31,2.02,0.81,17.3,8.5,8.7,0.297,72.3,3.92,4.36,4.36,4.17,4.35,-0.25,84,88.53,88.18,0.258,0.332
